"year","race","alchy","junky","sentence","married","felon","workrel","propty","person","gender","age","follow_up","time_served","record","recid"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","married","felony","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","female","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","married","midemeanor","not_particip","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","married","felony","participated","non_property","person","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","participated","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","female","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","participated","non_property","person","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","felony","participated","property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","married","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","female","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","female","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","drug_dep","supervised","unmarried","felony","not_particip","non_property","person","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","married","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","female","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","non_property","non_preson","female","mature","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term","<year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","participated","non_property","person","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","non_property","person","female","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","participated","property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","participated","non_property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","unsupervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","felony","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","participated","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","unsupervised","married","felony","participated","property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","female","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","caucasian","alch_dep","drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","participated","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term","<year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","alch_dep","drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","alch_dep","drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term","<year","missing","not_reoffend"
"1978","caucasian","alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","married","felony","participated","property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","non_property","person","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","married","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","person","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","property","non_preson","female","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","female","young","long_term","<year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","not_particip","non_property","person","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","felony","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","felony","participated","property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","felony","not_particip","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","africanAmerican","alch_dep","drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","participated","property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","alch_dep","drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","not_particip","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","female","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","married","felony","not_particip","non_property","person","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","alch_dep","non_drug_dep","unsupervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","property","non_preson","male","mature","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","drug_dep","unsupervised","unmarried","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","caucasian","non_alch_dep","drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","female","young","long_term",">year","missing","not_reoffend"
"1978","africanAmerican","alch_dep","non_drug_dep","supervised","married","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term",">year","complete","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","married","felony","participated","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","mature","long_term","<year","missing","not_reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","midemeanor","not_particip","non_property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","young","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","supervised","unmarried","felony","participated","property","non_preson","male","mature","long_term",">year","complete","reoffend"
"1978","africanAmerican","non_alch_dep","non_drug_dep","unsupervised","married","felony","participated","property","non_preson","male","young","long_term",">year","missing","reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","felony","participated","non_property","non_preson","male","young","long_term",">year","missing","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","felony","participated","property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","alch_dep","drug_dep","supervised","married","felony","not_particip","non_property","non_preson","male","young","long_term",">year","complete","not_reoffend"
"1978","caucasian","non_alch_dep","non_drug_dep","supervised","married","midemeanor","participated","non_property","non_preson","male","mature","long_term",">year","missing","reoffend"
